"Date","Account","Account Type","Description","Check #","Category","Credit","Debit","Daily Balance"
"07/29/2026","xxxx7841","Credit Card","STREAMCO MONTHLY","","Entertainment","","-15.99","231.06"
"07/22/2026","xxxx7841","Credit Card","BLUE LANTERN SUSHI","","Dining","","-58.20","215.07"
"07/18/2026","xxxx7841","Credit Card","AUTOMATIC PAYMENT","","Payment","210.00","","156.87"
"07/12/2026","xxxx7841","Credit Card","ROUNDHOUSE PIZZA #7","","Dining","","-24.15","366.87"
"07/12/2026","xxxx7841","Credit Card","GREENFIELD MKT 209","","Groceries","","-71.44",""
"07/12/2026","xxxx7841","Credit Card","FUELWORKS 448","","Gas","","-39.28",""
"07/05/2026","xxxx7841","Credit Card","NORTHBEAM COFFEE #12","","Dining","","-6.10","232.00"
"06/28/2026","xxxx7841","Credit Card","CEDAR AUTO REPAIR","","Auto Service","","-88.90","225.90"
"06/19/2026","xxxx7841","Credit Card","GRAND CINEMA 14","","Entertainment","","-27.50","137.00"
"06/11/2026","xxxx7841","Credit Card","SPARKLE WASH #3","","Auto","","-14.00","109.50"
"06/03/2026","xxxx7841","Credit Card","LAKEVIEW HARDWARE","","General","","-31.75","95.50"
"05/26/2026","xxxx7841","Credit Card","Interest Charge","","Fees","","-0.55","63.75"
