"Date","Account","Account Type","Description","Check #","Category","Credit","Debit","Daily Balance"
"07/30/2026","xxxx2298","Checking","STATEMENT AVAILABLE","","","","","3812.44"
"07/29/2026","xxxx2298","Checking","EXAMPLE BROADBAND","","Utilities/Internet","","-82.10","3812.44"
"07/29/2026","xxxx2298","Checking","EXAMPLE WIRELESS","","Utilities/Phone","","-88.00","3812.44"
"07/22/2026","xxxx2298","Checking","EXAMPLE AUTO INS","","Insurance","","-176.50","3982.54"
"07/15/2026","xxxx2298","Checking","EXAMPLE EMPLOYER (PAYROLL)","","Income/Payroll","2510.00","","4159.04"
"07/12/2026","xxxx2298","Checking","Withdrawal","1058","Cash","","-140.00","1649.04"
"07/09/2026","xxxx2298","Checking","EXAMPLE APTS","","Housing/Rent","","-2050.00","1789.04"
"07/09/2026","xxxx2298","Checking","HOMESTEAD SUPPLY CO","","Shopping","","-46.60","1789.04"
"07/06/2026","xxxx2298","Checking","QUICKSTOP #221","","Groceries","","-11.35","3885.64"
"07/01/2026","xxxx2298","Checking","EXAMPLE EMPLOYER (PAYROLL)","","Income/Payroll","2510.00","","3896.99"
"06/24/2026","xxxx2298","Checking","LANTERN LIGHTING CO","","Shopping","","-64.20","1386.99"
"06/16/2026","xxxx2298","Checking","ATM FEE DRAFT WITHDRAWAL Trace #7712","","Fees","","-3.00","1451.19"
